time,icao24,lat,lon,velocity,altitude
1647264870,a193aa,42.24472046,-87.84443248,167.5832421,3116.58
1647264880,a193aa,42.25988873,-87.84016454,166.5758233,3284.22
1647264890,a193aa,42.27399406,-87.83620435,165.0651916,3444.24
1647264900,a193aa,42.28834534,-87.83219771,164.6542296,3589.02
1647264910,a193aa,42.30317688,-87.82857722,165.4279454,3703.32
1647264920,a193aa,42.31796265,-87.82558094,165.6613524,3810
1647264930,a193aa,42.33293152,-87.82308405,165.0924458,3947.16
1647264940,a193aa,42.34745349,-87.82119396,164.7843714,4084.32
1647264950,a193aa,42.36218262,-87.81933871,168.929655,4145.28
1647264960,a193aa,42.3782959,-87.81740362,174.6118729,4183.38
1647264970,a193aa,42.39395917,-87.8154453,179.7818019,4221.48
1647264980,a193aa,42.41065979,-87.81340859,183.9272202,4259.58
1647264990,a193aa,42.42654419,-87.81134866,184.4875372,4358.64
1647265000,a193aa,42.44306946,-87.8092263,183.4633098,4488.18
1647265010,a193aa,42.45987714,-87.80746105,181.9510685,4617.72
1647265020,a193aa,42.47579956,-87.80666698,181.1310496,4739.64
1647265030,a193aa,42.49190508,-87.80663069,179.0449896,4869.18
1647265040,a193aa,42.50852423,-87.80656682,180.2676668,4975.86
1647265050,a193aa,42.52481752,-87.80362861,185.042582,5074.92
1647265060,a193aa,42.54097114,-87.79698571,189.9211313,5166.36
1647265070,a193aa,42.55600751,-87.78702137,194.3733916,5250.18
1647265080,a193aa,42.57096863,-87.77377042,196.6232965,5341.62
1647265090,a193aa,42.58589405,-87.75981105,197.3655539,5440.68
1647265100,a193aa,42.59999938,-87.74652525,197.7881637,5532.12
1647265110,a193aa,42.61312866,-87.73419467,198.5040687,5615.94
1647265120,a193aa,42.62965393,-87.71871393,198.5040687,5707.38
1647265130,a193aa,42.64408435,-87.70519878,198.9269206,5798.82
1647265140,a193aa,42.65844727,-87.69174749,200.0658099,5882.64
1647265150,a193aa,42.67382813,-87.6769534,202.1869639,5951.22
1647265160,a193aa,42.68696594,-87.6607236,207.1523607,6019.8
1647265170,a193aa,42.6982246,-87.64087766,211.8541355,6080.76
1647265180,a193aa,42.70687866,-87.61696555,215.3210878,6149.34
1647265190,a193aa,42.71232605,-87.59149725,217.4759911,6217.92
1647265200,a193aa,42.71694946,-87.56471807,218.1752091,6301.74
1647265210,a193aa,42.72108175,-87.53919025,219.0691987,6377.94
1647265220,a193aa,42.72541809,-87.51247059,220.2955891,6431.28
1647265230,a193aa,42.72964736,-87.48674969,220.9098252,6499.86
1647265240,a193aa,42.7339325,-87.46090976,221.4118209,6576.06
1647265250,a193aa,42.73846436,-87.43350636,222.0265449,6644.64
1647265260,a193aa,42.74267578,-87.40797563,222.5284,6720.84
1647265270,a193aa,42.74707031,-87.38163341,223.0303124,6789.42
1647265280,a193aa,42.75169373,-87.3539179,224.147094,6858
1647265290,a193aa,42.75604248,-87.32763956,225.1508113,6918.96
1647265300,a193aa,42.76057434,-87.30023471,226.2676537,6964.68
1647265310,a193aa,42.76498051,-87.2737299,227.2713216,6979.92
1647265320,a193aa,42.76954651,-87.24611456,227.2713216,6979.92
1647265330,a193aa,42.77389526,-87.21995961,227.2713216,6979.92
1647265340,a193aa,42.77833557,-87.19311801,227.2713216,6979.92
1647265350,a193aa,42.78285657,-87.16552734,227.1589216,6979.92
1647265360,a193aa,42.78726196,-87.13874817,227.1589216,6979.92
1647265370,a193aa,42.7917946,-87.1111067,227.1589216,6979.92
1647265380,a193aa,42.79614258,-87.08481529,227.1589216,6979.92
1647265390,a193aa,42.80031366,-87.05936875,227.1589216,6979.92
1647265400,a193aa,42.8052063,-87.02963396,226.5452739,6979.92
1647265410,a193aa,42.8094635,-87.003479,226.5452739,6979.92
1647265420,a193aa,42.81381226,-86.9767158,226.0429705,6979.92
1647265430,a193aa,42.81825256,-86.94950547,226.0429705,6979.92
1647265440,a193aa,42.82260132,-86.92274227,225.5407218,6979.92
1647265450,a193aa,42.82681274,-86.89693717,225.4298069,6979.92
1647265460,a193aa,42.8313446,-86.86889648,225.9323021,6979.92
1647265470,a193aa,42.83564681,-86.84241159,225.9323021,6979.92
1647265480,a193aa,42.83983651,-86.81644985,225.9323021,6979.92
1647265490,a193aa,42.84448242,-86.78784038,226.434851,6979.92
1647265500,a193aa,42.84860229,-86.76203528,226.434851,6979.92
1647265510,a193aa,42.85324355,-86.73333304,226.9374532,6979.92
1647265520,a193aa,42.85739136,-86.70761463,227.4401084,6979.92
1647265530,a193aa,42.86187744,-86.67957395,227.4401084,6979.92
1647265540,a193aa,42.86595231,-86.65400914,227.9428161,6979.92
1647265550,a193aa,42.87057495,-86.6251533,227.9428161,6979.92
1647265560,a193aa,42.87465758,-86.59933908,227.9428161,6979.92
1647265570,a193aa,42.87908936,-86.57162688,228.4455761,6979.92
1647265580,a193aa,42.88362122,-86.54326683,228.4455761,6979.92
1647265590,a193aa,42.88796997,-86.51580101,228.4455761,6979.92
1647265600,a193aa,42.89231873,-86.48846294,228.948388,6979.92
1647265610,a193aa,42.8966217,-86.46131649,228.948388,6979.92
1647265620,a193aa,42.90081994,-86.43447876,228.8402813,6979.92
1647265630,a193aa,42.9051493,-86.40707833,228.8402813,6979.92
1647265640,a193aa,42.90957642,-86.3789829,228.8402813,6972.3
1647265650,a193aa,42.91376146,-86.35227748,228.8402813,6972.3
1647265660,a193aa,42.91818237,-86.32430675,229.3433818,6972.3
1647265670,a193aa,42.92218742,-86.29852295,229.3433818,6972.3
1647265680,a193aa,42.92674255,-86.26943899,229.3433818,6972.3
1647265690,a193aa,42.93112545,-86.24143328,229.3433818,6972.3
1647265700,a193aa,42.93539429,-86.21425185,229.2366158,6972.3
1647265710,a193aa,42.93885312,-86.1919948,229.2366158,6972.3
1647265720,a193aa,42.94372559,-86.16066156,229.2366158,6972.3
1647265730,a193aa,42.94798279,-86.13319574,229.2366158,6972.3
1647265740,a193aa,42.95219421,-86.10566605,229.2366158,6972.3
1647265750,a193aa,42.95654297,-86.07768467,229.2366158,6972.3
1647265760,a193aa,42.96082577,-86.04989188,229.2366158,6972.3
1647265770,a193aa,42.96520168,-86.02157593,229.1309552,6972.3
1647265780,a193aa,42.96943794,-85.99411011,229.1309552,6972.3
1647265790,a193aa,42.97344143,-85.967756,229.1309552,6972.3
